EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,5151234567,17-Jun-87,AD_PRES," 24,000.00 ", 154.92 ,,
101,Neena,Kochhar,NKOCHHAR,5151234568,21-Sep-89,AD_VP," 17,000.00 ", 130.38 ,100,90
102,Lex,De Haan,LDEHAAN,5151234569,13-Jan-93,AD_VP," 17,000.00 ", 130.38 ,100,90
103,Alexander,Hunold,AHUNOLD,5904234567,3-Jan-90,IT_PROG," 9,000.00 ", 94.87 ,102,60
104,Bruce,Ernst,BERNST,5904234568,21-May-91,IT_PROG," 6,000.00 ", 77.46 ,103,60
105,David,Austin,DAUSTIN,5904234569,25-Jun-97,IT_PROG," 4,800.00 ", 69.28 ,103,60
106,Valli,Pataballa,VPATABAL,5904234560,5-Feb-98,IT_PROG," 4,800.00 ", 69.28 ,103,60
107,Diana,Lorentz,DLORENTZ,5904235567,7-Feb-99,IT_PROG," 4,200.00 ", 64.81 ,103,60
108,Nancy,Greenberg,NGREENBE,5151244569,17-Aug-94,FI_MGR," 12,000.00 ", 109.54 ,101,100
109,Daniel,Faviet,DFAVIET,5151244169,16-Aug-94,FI_ACCOUNT," 9,000.00 ", 94.87 ,108,100
110,John,Chen,JCHEN,5151244269,28-Sep-97,FI_ACCOUNT," 4,000.00 ", 63.25 ,108,100
111,Ismael,Sciarra,ISCIARRA,5151244369,30-Sep-97,FI_ACCOUNT," 7,700.00 ", 87.75 ,108,100
210,John,xyz,JCHEN,5151244269,28-Sep-97,FI_ACCOUNT," 8,200.00 ", 90.55 ,108,80
